iter	Passed	Remaining
0	148	148074
1	149	74602
2	150	50172
3	151	37799
4	152	30410
5	154	25542
6	154	21984
7	155	19337
8	158	17430
9	159	15784
10	160	14417
11	161	13280
12	162	12316
13	163	11482
14	164	10778
15	165	10148
16	176	10191
17	177	9697
18	178	9229
19	181	8896
20	182	8516
21	183	8164
22	184	7839
23	185	7545
24	186	7265
25	187	7007
26	187	6773
27	188	6556
28	189	6356
29	190	6165
30	191	5984
31	192	5813
32	192	5654
33	194	5513
34	194	5370
35	195	5240
36	196	5123
37	198	5013
38	198	4902
39	200	4814
40	201	4721
41	202	4627
42	204	4543
43	205	4460
44	206	4375
45	207	4295
46	207	4216
47	208	4144
48	209	4071
49	210	4002
50	211	3940
51	212	3874
52	213	3813
53	214	3754
54	215	3700
55	216	3645
56	217	3592
57	218	3545
58	218	3491
59	220	3450
60	220	3401
61	222	3362
62	223	3320
63	224	3276
64	224	3233
65	225	3192
66	226	3156
67	227	3114
68	228	3077
69	228	3040
70	229	3006
71	230	2972
72	231	2940
73	232	2911
74	233	2880
75	234	2846
76	234	2816
77	235	2786
78	236	2758
79	238	2738
80	239	2712
81	239	2685
82	240	2660
83	241	2635
84	242	2608
85	243	2583
86	243	2556
87	244	2532
88	245	2508
89	245	2486
90	246	2465
91	247	2445
92	248	2423
93	249	2406
94	251	2391
95	251	2372
96	253	2356
97	253	2337
98	254	2319
99	255	2300
100	256	2281
101	256	2260
102	257	2242
103	258	2225
104	259	2208
105	259	2192
106	260	2175
107	261	2160
108	262	2147
109	263	2132
110	264	2116
111	264	2100
112	265	2086
113	266	2071
114	267	2056
115	267	2040
116	268	2028
117	269	2014
118	270	2000
119	270	1986
120	271	1972
121	272	1960
122	273	1947
123	274	1937
124	275	1925
125	275	1913
126	276	1902
127	277	1889
128	278	1879
129	279	1868
130	279	1857
131	280	1845
132	281	1834
133	282	1825
134	283	1814
135	283	1804
136	284	1793
137	285	1782
138	286	1773
139	287	1767
140	288	1757
141	289	1748
142	290	1739
143	291	1729
144	291	1721
145	292	1712
146	293	1703
147	294	1695
148	295	1687
149	296	1680
150	297	1672
151	298	1663
152	299	1659
153	301	1656
154	302	1648
155	303	1641
156	304	1635
157	305	1630
158	306	1623
159	307	1614
160	308	1606
161	308	1598
162	310	1592
163	310	1584
164	312	1580
165	313	1574
166	314	1567
167	315	1562
168	316	1555
169	317	1548
170	318	1542
171	318	1535
172	319	1528
173	320	1522
174	321	1516
175	322	1509
176	323	1505
177	324	1500
178	325	1493
179	326	1489
180	327	1481
181	328	1475
182	329	1469
183	330	1463
184	331	1458
185	331	1451
186	332	1445
187	333	1440
188	334	1436
189	335	1431
190	336	1425
191	337	1421
192	338	1416
193	339	1411
194	340	1406
195	341	1402
196	342	1397
197	356	1442
198	357	1438
199	358	1433
200	359	1427
201	360	1422
202	360	1416
203	362	1412
204	362	1407
205	364	1403
206	365	1401
207	367	1401
208	368	1396
209	370	1393
210	371	1387
211	371	1381
212	372	1376
213	373	1371
214	374	1365
215	374	1360
216	375	1355
217	376	1349
218	377	1344
219	377	1338
220	378	1333
221	379	1330
222	380	1326
223	381	1322
224	383	1320
225	384	1317
226	385	1312
227	386	1307
228	387	1303
229	387	1298
230	388	1293
231	389	1288
232	390	1284
233	390	1279
234	391	1274
235	393	1272
236	394	1268
237	395	1265
238	396	1260
239	396	1256
240	397	1252
241	398	1248
242	399	1243
243	400	1239
244	400	1235
245	401	1230
246	402	1226
247	403	1222
248	403	1218
249	404	1213
250	405	1209
251	406	1205
252	407	1202
253	408	1199
254	409	1195
255	409	1191
256	410	1187
257	411	1183
258	412	1179
259	413	1175
260	413	1171
261	414	1167
262	415	1163
263	415	1159
264	416	1155
265	417	1151
266	418	1149
267	419	1146
268	421	1144
269	421	1140
270	422	1137
271	423	1133
272	424	1129
273	425	1126
274	425	1122
275	426	1118
276	427	1114
277	427	1111
278	428	1107
279	429	1103
280	430	1101
281	431	1098
282	432	1096
283	433	1093
284	434	1089
285	435	1086
286	435	1083
287	436	1079
288	437	1076
289	438	1072
290	439	1069
291	439	1066
292	440	1063
293	441	1060
294	442	1057
295	443	1055
296	446	1055
297	446	1052
298	447	1049
299	448	1046
300	451	1049
301	453	1047
302	454	1045
303	455	1042
304	456	1040
305	458	1038
306	460	1039
307	461	1036
308	462	1034
309	463	1031
310	465	1031
311	467	1029
312	468	1027
313	469	1025
314	470	1023
315	471	1021
316	473	1019
317	474	1016
318	475	1014
319	475	1011
320	477	1009
321	478	1006
322	478	1003
323	479	1001
324	480	998
325	482	997
326	483	994
327	484	992
328	485	990
329	486	987
330	487	984
331	487	981
332	488	978
333	489	976
334	490	973
335	491	970
336	492	967
337	492	965
338	493	962
339	494	959
340	495	957
341	496	954
342	499	957
343	500	955
344	501	952
345	502	950
346	503	947
347	504	944
348	505	942
349	505	939
350	506	936
351	507	933
352	507	931
353	508	928
354	509	925
355	510	923
356	511	921
357	512	919
358	513	916
359	514	914
360	514	911
361	515	908
362	516	906
363	517	903
364	517	901
365	518	898
366	519	895
367	520	893
368	521	891
369	522	889
370	523	888
371	524	885
372	525	883
373	526	880
374	527	878
375	527	876
376	528	873
377	529	871
378	530	868
379	530	866
380	531	863
381	532	861
382	532	858
383	533	856
384	534	854
385	535	851
386	536	849
387	537	847
388	538	845
389	539	843
390	539	840
391	540	838
392	541	836
393	542	833
394	542	831
395	543	829
396	544	827
397	545	825
398	546	822
399	547	820
400	548	819
401	550	818
402	551	816
403	552	814
404	553	812
405	553	810
406	554	808
407	555	805
408	556	803
409	556	801
410	557	799
411	558	796
412	559	794
413	559	792
414	560	790
415	561	787
416	562	786
417	562	783
418	563	781
419	564	779
420	565	777
421	566	775
422	567	773
423	568	771
424	568	769
425	569	767
426	570	765
427	571	763
428	571	760
429	572	758
430	573	756
431	574	754
432	575	753
433	576	752
434	578	750
435	578	748
436	579	746
437	580	744
438	581	742
439	582	740
440	582	738
441	583	736
442	584	734
443	585	732
444	586	730
445	586	728
446	587	726
447	588	724
448	589	723
449	590	721
450	591	719
451	592	717
452	592	715
453	593	713
454	594	711
455	595	710
456	596	708
457	596	706
458	597	704
459	598	702
460	598	700
461	599	698
462	600	696
463	602	695
464	603	694
465	604	692
466	605	691
467	606	689
468	607	687
469	607	685
470	608	683
471	609	681
472	610	679
473	610	678
474	611	676
475	612	674
476	613	672
477	614	671
478	615	669
479	616	667
480	617	666
481	618	664
482	619	663
483	620	661
484	621	659
